,Fecha,Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Dólar Americano (US$),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Euro (E),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Yen  (¥),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Real Brasileño (R),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Libra Esterlina (£),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Chileno ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Yuan Chino,Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Colombiano ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Mexicano ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Franco Suizo ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Dólar Canadiense (Can$)
74,Mar.1998,2.80565909090909,3.04498181136364,0.0218014582247299,2.47478088639772,4.65993952322643,0.00619994053633812,0.338880458366641,0.00206739608407727,0.327423483867135,1.88478892025225,1.9810097572978
75,Abr.1998,2.81865,3.079938855,0.0214070011940499,2.46990010515247,4.71254850189059,0.00621203773085908,0.340449560343995,0.00207164382528648,0.331620512669677,1.8711165693043,1.97134584315399
76,May.1998,2.842775,3.15434314,0.0210580823879904,2.47606915773887,4.65507907276782,0.00626962860041463,0.343371784031888,0.00205010054797474,0.332052325216038,1.92183274743104,1.96732514645379
77,Jun.1998,2.90602380952381,3.20127582857143,0.0206735437259923,2.51690958732358,4.79388494262943,0.00637020497933714,0.350981775852242,0.00209725285187159,0.326543377833641,1.9453120168716,1.9832217196922
78,Jul.1998,2.9187619047619,3.20771933333333,0.0207396177968672,2.5129245843839,4.79697856872697,0.00628177062836154,0.352515991299537,0.00212774549472872,0.327803448423394,1.92833201514376,1.96202500695077
79,Ago.1998,2.96033333333333,3.26672783333333,0.0204647843093077,2.52652840601974,4.82916207050718,0.00628174114784479,0.35753249837961,0.00212929212341493,0.319704234884156,1.9801432280562,1.92819163371958
80,Sep.1998,3.04111363636364,3.52008903409091,0.0225948014608107,2.57525077175344,5.10969108251698,0.00646357839822239,0.367328618959251,0.00200134517245912,0.297698928711909,2.16808917019943,1.99896039299923
81,Oct.1998,3.048675,3.6642024825,0.0251337262548973,2.5653609895658,5.16593974309817,0.00657608930112165,0.368295320012564,0.00192039313989404,0.300294022044266,2.28260869565217,1.97319768850943
82,Nov.1998,3.09135714285714,3.61101427857143,0.0256370616409883,2.58972701923192,5.1365977642698,0.00667304999969163,0.373451538193378,0.00197742449129717,0.309525716688742,2.23330068620884,2.00819630294026
83,Dic.1998,3.13407142857143,3.68441437142857,0.026645167056641,2.60002607314703,5.23506191601042,0.00663449994405349,0.378607065629137,0.00206037079424,0.316199181630944,2.30595637513349,2.03218306022833
84,Ene.1999,3.2473,3.769400894,0.0286911987474935,2.16325864440766,5.36149597245539,0.00682664816683485,0.392233361517091,0.00206875242882353,0.321184127235322,2.34690853900914,2.13749954746068
85,Feb.1999,3.394475,3.804408773375,0.0290966364314858,1.77453320903,5.52710749086116,0.00687906576147533,0.410059797052428,0.00216225029073865,0.338939091362956,2.38045063745635,2.26710190178825
86,Mar.1999,3.37821739130435,3.67649929905481,0.0282042691845304,1.7817602274812,5.47337187395164,0.00685960321496172,0.4080416218314,0.00217965118231328,0.345797559848337,2.30445608056506,2.22617291024998
87,Abr.1999,3.34795,3.58378264159091,0.0279449379676548,1.97721162124947,5.39078822906065,0.00694120208156242,0.404380858053918,0.00212519839924721,0.35442725742993,2.23587198974208,2.25091004045184
88,May.1999,3.33097619047619,3.54019321882085,0.0272776214339942,1.97952570959617,5.3805023487994,0.00686742575968207,0.402364702600253,0.00203501546218133,0.355784768487369,2.20995461332231,2.27829936183646
89,Jun.1999,3.3377380952381,3.46375287987011,0.0276070128244397,1.89147799336158,5.32584454966035,0.00664662981707011,0.403206345409706,0.00197130183887524,0.34980172454234,2.17123961310008,2.27196816601542
90,Jul.1999,3.32255,3.4397302975,0.0277212514715612,1.84636000131348,5.22830372366698,0.0064298293145489,0.401390499661738,0.00182999102230104,0.354704230765125,2.14371894960965,2.23172664866535
91,Ago.1999,3.36140476190476,3.56428081839828,0.0296408280082656,1.78802881029004,5.40158245525432,0.00655206276807353,0.406101635435049,0.00179395474393713,0.357668545972565,2.22745299248864,2.25242746184348
92,Sep.1999,3.41813636363636,3.58930731053718,0.0317754829451701,1.8015792777296,5.54694161766311,0.0065163213490351,0.412946075554321,0.00172842655928214,0.365955736286454,2.24093066611358,2.3145187262632
93,Oct.1999,3.472375,3.71764042083332,0.0327666009266511,1.76378186731413,5.7584991708126,0.00644464550853749,0.419500688622031,0.0017550915915324,0.363969162395313,2.33201813297515,2.35047942029574
94,Nov.1999,3.48169047619048,3.59945074361473,0.0331728579232295,1.80483568739171,5.6518196779223,0.00640452233355495,0.420585958547759,0.0017885603711927,0.369586590540892,2.24354519140809,2.37260883122523
95,Dic.1999,3.48384090909091,3.52221066601241,0.0339291089704997,1.89130474899133,5.62118351822597,0.00648252932360334,0.420787782234904,0.00184534826661732,0.370089861272737,2.2004780820675,2.36472783372725
96,Ene.2000,3.49945238095238,3.54737821451248,0.0332765772494695,1.9409873908519,5.74415216334392,0.00672389735988545,0.422677462445557,0.00181730147356275,0.369167805740127,2.20396295563193,2.41519768446535
97,Feb.2000,3.45595238095238,3.39866585600907,0.0316162067215406,1.94757448818306,5.52961228332034,0.00673871966647632,0.417480343478034,0.00177170222663815,0.365879603302319,2.11562152194154,2.38166340141517
98,Mar.2000,3.44286956521739,3.32010881172021,0.0322647565096344,1.97725916412738,5.43871469790909,0.00681028121457727,0.415877829624644,0.00176005733107698,0.37036430740621,2.06898245548027,2.35718920768021
99,Abr.2000,3.47888888888889,3.29433383333332,0.0329802518760086,1.96840050294488,5.50805713883611,0.00684685866736644,0.420191693839555,0.00175021130685137,0.371089398055307,2.09253957178794,2.36914429317659
100,May.2000,3.50331818181818,3.17389480351241,0.0324057255875438,1.91738666414574,5.28348165626281,0.00671571173143078,0.423203172445148,0.00170462990309589,0.36846780346854,2.03902974851623,2.34262301844375
101,Jun.2000,3.48702380952381,3.30980374945887,0.0328252264852095,1.92916663373562,5.25851099276724,0.00658251936709293,0.421280603286596,0.00164442363155393,0.355898651689543,2.12206753175096,2.36113851840674
102,Jul.2000,3.480325,3.27031224571427,0.0322559941425619,1.93671613116926,5.24983407246508,0.00641239060340856,0.42035956711839,0.00161032221944606,0.367557135011828,2.10962030380545,2.35498408165889
103,Ago.2000,3.47754545454545,3.1438976478261,0.0321777332676628,1.92295410778321,5.18046933402672,0.00631144930859989,0.420015224769578,0.00158983285328268,0.374549841085825,2.02755778219006,2.34580960878644
104,Sep.2000,3.48492857142857,3.03925599183673,0.0326450892857143,1.89564160565961,4.99774640962078,0.00615820563956277,0.420905426763198,0.00157421245818362,0.373442554188169,1.98349909584087,2.34491363437342
105,Oct.2000,3.50034090909091,2.99334834969008,0.0323014687532267,1.86303488201697,5.08076306948487,0.0061643084479623,0.422825127993722,0.00160802405471264,0.367752401619099,1.97826433202832,2.31458832674162
106,Nov.2000,3.52847619047619,3.02173889393941,0.032403298578655,1.81206762006984,5.03047559304866,0.00614075215885171,0.426280897929433,0.00165168760124083,0.370720031779719,1.98533491842893,2.28791448270805
107,Dic.2000,3.51957894736842,3.15817376177285,0.0313672000058502,1.79341602413677,5.14362807612373,0.006124948135963,0.425216281856487,0.00161181886088862,0.372674891982129,2.08462637922731,2.31180621415363
108,Ene.2001,3.52268181818182,3.30526830123967,0.030083897658896,1.80307387347144,5.2072162870389,0.00616802391473214,0.425567502960615,0.00157162109677288,0.36055739636051,2.16080982063095,2.34352603209152
109,Feb.2001,3.52845,3.25219000725001,0.0304078763591419,1.76329437241455,5.12953028915347,0.00626578232379735,0.426292669136142,0.0015733140959276,0.363656507982314,2.11679904972164,2.31858011650562
110,Mar.2001,3.51979545454545,3.20133396126032,0.0290593691368218,1.68552398158528,5.08604212780212,0.00598818532902134,0.425222917288787,0.00154510067449032,0.365962991354189,2.08479165948722,2.25845072476449
111,Abr.2001,3.55873684210526,3.17439326315789,0.0287394709745837,1.62376689857905,5.10593825088993,0.00594480203482162,0.42994972177517,0.00153189171968829,0.380581002920099,2.07577933055994,2.28492527511036
112,May.2001,3.60004545454545,3.14702882561982,0.0295255101660416,1.56766921013826,5.13075485925584,0.00595560722363925,0.434932550611067,0.00153549777347123,0.393589540986963,2.05317979613634,2.33548595678378
113,Jun.2001,3.5307575,3.01232460708334,0.0289043082165668,1.48661908822012,4.94677057793345,0.0057310979271836,0.426572482433334,0.00153156870561627,0.388178754796222,1.97904650602275,2.31616932889399
